Epoch	Start	End	Bits	SHA256_hex	Chain_hex
82	167936	169984	2048	d6ba239b88b9051644cbbdf3d2144e1cd8bfad13f45f2ac35e06722bc463226c	3340ce0270019dfe0aa1d83addf1f197c2c7cf2d3f2e65b71bd5bc3ab008c817
83	169984	172032	2048	b99d26f177228234d9ecfd7c67e48680868765a6863500ec8ba604b3e66b81a3	f612366cde9f4231c5bb05dc5c10a8bbf331c136c79b7f2841cd7e8e304e1663
84	172032	174080	2048	e99d93bbff874d503170b0162f2c2ac9a06e56b7bd0021c9a0e6070846e6a4ab	56b0d1f8785d231041c945a8a145ae9a7e0de76e0a5ae5064ae3d9e8b35e2b7a
85	174080	176128	2048	8623b11ae6b563fae101a99f468ebb231a7e1f9a2c651ade45ef07fc623d49fe	856dd42547261e09304bea1f842a0f9c9c2c9828af9374deaee5cf12803782e3
86	176128	178176	2048	4e84071e7cc04a47af5366caf9d3b4e8d466211227465c76871b7bec9055927e	9aca306f1071f5c82df7abb7eb0394e3ff6e5f3522b8caa07ce287cef6284031
87	178176	180224	2048	01570cba88f31337f4b46f34c2684915c37afc9dc9bb6e28fb1ace609cb1cb4c	ee3ba4a5fffd69a108e6ed2335fc1519690eacf5d53d620540860fc5123256b2
88	180224	182272	2048	c3ff7195e716568bbcfd649d7f98a505c19e8c4dd2b11ec70f96b12989c9a525	ec98eb785d71573c324ec5a454426b66ecd1c4588fcc34592fd712ee94116f96
89	182272	184320	2048	2b998b4549d4018ff83d9454f6edde76082908d8736ab619eead1a072b209031	39fcbfcb59ffeb824242e828d5040f692840971600c301aa0c7cdaa383d7124c
90	184320	186368	2048	e0058abbe28bc45184a4ea33e0bc7a9b0ceddf405ac6a539fc3793ab17439722	bb9b72fc196ee93d86ff9f2da3fe17b97a8da9c2b853b93bd29c359b67553d0b
91	186368	188416	2048	c3ab6c5bb414e47c7981c724144fc7ceebd141459e20231a419533305671dae9	a00c9ba2702d4bbcfa37b852dc6afda160b3c978d9f279ea514020094557b36b
92	188416	190464	2048	b2fc3bd510bd4f5f0da252c758a8a47081a00b880fb3d8ff9a44242cea38c197	97c40229121fab996b3d0ae813f0d115d4259081728d29b46ac35cb5a7b72bc1
93	190464	192512	2048	ca5d75434e05ea8685f03ff44b7c8a4c3eb8dcbaf59ba29d29fe02563d2cb5bb	12289253f758db41b6c82b91a3c0992e75a77f0feddb2ab95d5b11d4abfc3267
94	192512	194560	2048	3ad35182d717700e4f8b893ef6c253ea32c0d0dc08e55c0bb042417254ffae77	75fdb212c3bd844f4c7a1708ca25baf134e7bc3892f79a073af81a09acbf1a79
95	194560	196608	2048	b4e4d56aaad4f357217ed5a6785495d1ade08ff194b2515301dbb520471382b6	81a21b8b6ee717680ee88dc4c2f218b6efd8f0c739391a355b394479a8951457
96	196608	198656	2048	bacd6ad0b1a740985c2cf47add1a8ea4834568da5459cb3a681fb6bf2de8b119	d085ff9c73c88bcb21250480ceadee1643175a4e080b01610810760245115464
97	198656	200704	2048	5b1741056f3e8be90a43fbe849d3184e739297dc742a6959f6756b42de609a97	1a805d91d75d64acf796e652b697c31f6ca3a47dcb0df1801df3106a89bca7d0
98	200704	202752	2048	ff9c43a092a92a42dc53d0d2c9236ac97d4a6f3306de002d25476939d7667af4	1be5485d4b0e4220dacd8628d7ce657f24e9782cd8af89c6b833f095ceee386d
99	202752	204800	2048	a493c4e575f5dc2c9e5f2d6dc6f6c96fa0e0f37643af346a354e9a6693eb5d4d	13b4e8f9b1e3ffb3b134ffd4b3b753766ee980724a157b31bed5365a809c4b45
100	204800	206848	2048	a99e7e401e111c2298a7e6ba56abb2adaaf9a9cc9ad10792c0997b6a6cbde88f	caf1c5a34e077bc6200bee4f2ab4b71cee6b77c9c04175ec0ac8343189cb77ef
101	206848	208896	2048	e917a3fb9a3b9cc63432f3399a7b5887d0d3385f6eab111e468657b5aeb005a0	32ceefd137af70f0bd25233ba939b59d09ce1c29d49cf6a90837e1faed713649
102	208896	210944	2048	5c53dbdc3b65bc3580c2cff8ab13a36dfd8347a8b38415eaa78b8c0ebb42d226	b84c69472846f3a6441e8bc8c920b14f4a4b624bd96be91028d7c62400d6ca9a
103	210944	212992	2048	6b7565a41c7457ed6798a63eedaf305d52425093c1f5f1519d5c8d936ee7e1fb	47e19a9889075f4d6e128a504a20a00940228634de1c131d61f6985c0b006fdb
104	212992	215040	2048	82b81c9becf634ea96e9ff9e027dec1a514883c3bbe9b6a2eb1a7a671422c158	f27e97a19e7e596379efa9bd6b41c63a424b9673c2eb36405aeca5cf81e7c634
105	215040	217088	2048	3d257a9d3cb75d5e582d3fe2c61a28c73648153c99ea8f267023a321a2474df2	58281ef059a9fcd407f5baea649a89e2e26bb1c732f3498337d13da9a91e70aa
106	217088	219136	2048	0a95ea1269e1553797aeae8102a8a15ba1e673dd1fab4bbd5794e0947446d56a	ec05fad9c6d18b53ffa15148f46fee50a2ccd784e2f2aa84b17e14328edf5d1d
107	219136	221184	2048	9c3ca1dc8a6229f7b37b1fdf20ba1bb602c90db77545d10c40851ee57ed15dd2	c851dcb2567fbe4028c85e322d1b383be8dd84acda030478dbaf72b754c75536
108	221184	223232	2048	77c55ca063f1a0aaabcbc36b8223aa455506ec60b203e821ec191ddcbd961479	862927c6bcb9b2a89afc68608043643a9edabeebafd2510263e6a7be7fd97058
109	223232	225280	2048	778d1e2bad30decd49478d80cdf4b965fd33c191994ccfca2448965bb569a863	b7996102a0d1a91f2f0dc6e8b9b9138840a47d516d9cf115364c8a0527f9a7c5
110	225280	227328	2048	46a05aa6db7bff7ba5caf0701fc2f587fcc443c758d30644a277a7e128240aae	235faa14dd951e93bac066589175496101fd13111a5e7085705985ca3618c8d7
111	227328	229376	2048	ca761b5d3767632558aabab094fc5921f9d2cc74cf0ff2cb4375e289c05a7f42	7779adaea8c74250b90a467ea5de5aa64ee9e25597e80f7c23be28ee49341433
112	229376	231424	2048	e2ced2577f80876362e224d5c1a3782d9be34d84374971616646eff510fa4321	97001d7def10100d22a99f9c939fff9ea191541f4c32e663d1a8dc3d2f663ed8
113	231424	233472	2048	f744364ab407bad4f6083063d853f0073cf763c4897ebe3ec92ec557dea11e61	52355a83cb9792c241166e7364fa11acdef4fa519a57f045e069f2db6cea0e54
114	233472	235520	2048	a429e3f65b8c40f2aa6b20a56dc7c544085b8051f31fd8129de03fd1b47c8fee	353e1c486a1a583cca6978f7105301a3519d83189d3c28e9151817def41e5030
115	235520	237568	2048	77c0124efe32208dc053609323bbf3b26b42bac954559927ff4a3cd2197083e7	252a4ccc9ac9be014385265b265bef621f11a3fad803f3e644e5bc85fb404f90
116	237568	239616	2048	12da04a564f3dfd4d77e9cd92ddfc97abbb335b9303337b8e9845a9071206e22	20ca23a9c4c40cf237c8371176ea266877639331312ed30856406d23c6b757c3
117	239616	241664	2048	769b6749a0a1ea69993e6f45083624d82ffd6a3149277ae81736d52fb9c29af8	6ddbf88f6c1cf0d973bfbf14d3a0eb024b639f238b5826c037e7989a1aa3b219
118	241664	243712	2048	2833f81b2eac4edd4322b37f1559d9d590992d411f71aee5fe9dd08fce17a4c5	bb5f6ce355718d3e3e2c0a258159799a63020622457b26c7f9c742867e3653d0
119	243712	245760	2048	eb4e494fb5b2ae8fcccd2a69dec1eb90252d390fe7fb09777557bd29805950e0	7319041b7e37d43e0bbee1af1b0c36343f60282c7b396e992a92ceb2896f3164
120	245760	247808	2048	2a2088b858b209f516e5626d3d8c9583b2a449268e0d312f816feebcf3c81ce9	21de4ea7d0ae922195677b0e8f041f52d1cd0594691085dce50103c713088ada
121	247808	249856	2048	9e16a2275385308c6809e72c2553385723f507d2c3ce9faedd4491cb1017d7df	19cd09a5b71ed2c1ff237cb58d8469fddf7dda8a02318d5bc32c2e0c5bb55e0d
